Age,Income,Education_Level,Work_Experience,Purchase_Decision
28.0,27852.59,High School,3.0,0
39.0,57730.36,Master,4.0,1
41.0,83036.69,Master,22.0,1
58.0,57075.01,High School,24.0,0
34.0,63235.82,Bachelor,7.0,1
29.0,59949.67,Bachelor,1.0,0
63.0,,Master,11.0,1
49.0,82265.28,Master,23.0,1
32.0,,Bachelor,7.0,0
33.0,44822.4,Bachelor,4.0,0
39.0,78970.1,Master,18.0,1
45.0,50480.38,High School,24.0,1
37.0,,Bachelor,0.0,0
50.0,77317.94,Master,7.0,1
27.0,,Bachelor,,0
57.0,,Bachelor,12.0,0
,,,4.0,0
50.0,55871.41,Bachelor,9.0,1
19.0,43652.53,Bachelor,0.0,1
50.0,54243.59,Bachelor,13.0,1
50.0,76244.4,Bachelor,23.0,1
58.0,52566.8,Bachelor,10.0,0
,61758.95,Master,2.0,1
47.0,77140.01,High School,28.0,1
50.0,82934.48,Bachelor,29.0,1
30.0,37545.5,Bachelor,0.0,0
43.0,52972.38,Bachelor,4.0,1
39.0,32010.1,High School,6.0,0
56.0,66003.75,Bachelor,16.0,1
19.0,66869.48,Master,1.0,0
55.0,56363.41,Bachelor,10.0,0
56.0,81540.66,Master,24.0,1
43.0,93710.06,PhD,23.0,1
63.0,39135.44,High School,1.0,1
,53703.78,High School,10.0,0
51.0,91176.57,PhD,18.0,1
59.0,99515.21,PhD,28.0,1
61.0,65464.36,High School,36.0,1
57.0,37760.64,High School,10.0,0
28.0,42780.69,High School,6.0,0
20.0,68327.45,PhD,2.0,1
23.0,43114.12,,3.0,0
26.0,60188.71,Bachelor,6.0,0
23.0,74058.12,Master,4.0,1
26.0,29389.25,High School,5.0,0
56.0,57485.48,Bachelor,5.0,0
48.0,40515.38,High School,10.0,0
49.0,,Master,26.0,1
58.0,44872.6,High School,13.0,0
29.0,56492.14,Bachelor,11.0,0
25.0,40854.91,Bachelor,,0
25.0,36345.41,,3.0,0
45.0,36385.88,High School,7.0,0
37.0,,Bachelor,8.0,1
64.0,27132.71,High School,1.0,0
24.0,60557.1,Master,0.0,0
28.0,67580.44,Master,10.0,1
37.0,58969.33,Bachelor,,1
33.0,44035.78,Bachelor,5.0,0
21.0,46658.1,Bachelor,3.0,0
23.0,61317.31,Master,5.0,1
39.0,48255.53,Bachelor,6.0,0
43.0,27116.65,High School,3.0,0
20.0,23553.75,High School,0.0,0
58.0,74464.07,Bachelor,23.0,1
59.0,44160.74,Bachelor,0.0,0
31.0,47394.73,Bachelor,7.0,0
28.0,36685.42,,9.0,0
35.0,62225.09,Bachelor,11.0,1
29.0,25308.61,,2.0,0
40.0,40156.3,High School,4.0,0
29.0,52949.07,Bachelor,9.0,0
30.0,34350.85,High School,7.0,0
42.0,49380.92,Bachelor,10.0,1
62.0,76879.18,Bachelor,3.0,0
36.0,62885.01,Bachelor,14.0,1
,58937.47,Bachelor,19.0,0
53.0,52328.59,,19.0,0
62.0,,High School,,0
25.0,61221.35,Master,1.0,1
46.0,76887.95,Bachelor,23.0,1
49.0,58125.21,Bachelor,15.0,1
61.0,71374.84,High School,39.0,1
35.0,49816.03,Bachelor,7.0,0
23.0,48223.2,Bachelor,4.0,0
35.0,46224.16,Bachelor,5.0,0
36.0,44426.56,Bachelor,2.0,0
39.0,31470.88,High School,7.0,0
54.0,55275.63,High School,28.0,1
49.0,80472.18,Master,22.0,1
58.0,86683.52,Master,9.0,1
20.0,,High School,0.0,0
45.0,56706.0,Bachelor,,1
27.0,25646.9,High School,,0
52.0,68297.66,High School,34.0,1
46.0,64357.84,Bachelor,17.0,0
32.0,33361.72,High School,7.0,0
50.0,,Bachelor,11.0,1
24.0,42733.74,Bachelor,4.0,0
29.0,36685.78,High School,4.0,0
47.0,40859.12,High School,15.0,0
38.0,56814.99,Master,3.0,1
48.0,27503.46,High School,0.0,0
41.0,35796.34,Bachelor,0.0,0
37.0,,Bachelor,14.0,1
,,Bachelor,19.0,1
21.0,44470.14,Bachelor,2.0,0
45.0,40063.1,High School,13.0,0
61.0,,High School,8.0,0
37.0,56580.53,High School,18.0,1
41.0,,Bachelor,7.0,1
49.0,39577.51,Bachelor,1.0,0
58.0,36430.65,High School,3.0,0
53.0,68558.47,,32.0,1
51.0,71075.71,Bachelor,1.0,1
53.0,,Bachelor,26.0,1
19.0,71676.53,PhD,0.0,1
32.0,39522.56,Bachelor,0.0,0
51.0,81403.87,Bachelor,30.0,0
53.0,42778.79,Bachelor,5.0,0
23.0,67110.7,Master,3.0,1
,87761.56,Master,30.0,1
59.0,47933.13,Bachelor,2.0,0
29.0,34337.14,High School,7.0,0
20.0,26150.39,High School,2.0,0
62.0,76288.33,Bachelor,32.0,1
35.0,,Bachelor,12.0,1
57.0,65109.58,Bachelor,20.0,1
38.0,,,4.0,0
32.0,48469.49,Bachelor,4.0,0
50.0,71161.54,,12.0,1
52.0,,,,0
43.0,67538.18,Bachelor,,1
25.0,56291.81,Bachelor,7.0,0
53.0,93363.2,Master,32.0,1
65.0,,Master,36.0,1
47.0,62869.89,Bachelor,20.0,1
40.0,45928.68,Bachelor,4.0,0
59.0,79857.61,Master,23.0,1
61.0,72170.32,Bachelor,24.0,1
31.0,65579.68,Bachelor,2.0,1
31.0,68350.07,Master,8.0,1
19.0,28726.28,High School,0.0,0
54.0,83762.44,Bachelor,35.0,1
22.0,57558.85,Master,4.0,0
55.0,79838.89,,17.0,1
62.0,67241.89,Bachelor,19.0,1
58.0,36583.07,High School,4.0,0
64.0,,Bachelor,17.0,0
31.0,45255.59,High School,11.0,0
56.0,44335.25,High School,0.0,0
42.0,75671.6,Bachelor,18.0,1
37.0,39227.62,,16.0,0
19.0,53252.39,Bachelor,0.0,0
56.0,77976.16,Bachelor,33.0,1
23.0,70985.54,PhD,2.0,1
34.0,56260.16,Bachelor,15.0,1
42.0,50999.99,High School,17.0,0
45.0,29860.86,High School,1.0,0
19.0,48660.97,Bachelor,1.0,0
52.0,74112.22,Bachelor,,1
54.0,44384.95,Bachelor,5.0,0
22.0,50642.84,Bachelor,2.0,0
18.0,26211.46,High School,0.0,0
57.0,54488.63,Bachelor,5.0,1
29.0,54121.8,Bachelor,8.0,0
53.0,63263.11,High School,29.0,1
62.0,,High School,20.0,0
40.0,30810.64,,8.0,0
64.0,72932.86,High School,43.0,1
48.0,59898.27,,17.0,1
28.0,40807.91,High School,6.0,0
27.0,31067.97,High School,5.0,0
20.0,28763.33,High School,2.0,0
31.0,79626.45,PhD,11.0,1
33.0,66805.84,,3.0,1
27.0,31123.37,High School,,0
46.0,47977.85,Bachelor,6.0,0
27.0,21978.59,High School,1.0,0
29.0,53899.28,Bachelor,3.0,0
47.0,26184.62,High School,4.0,0
58.0,60858.5,Bachelor,17.0,1
18.0,39570.3,Bachelor,0.0,0
22.0,63045.79,Master,1.0,0
37.0,37232.94,High School,7.0,0
25.0,76357.35,Master,,1
,68806.83,Master,14.0,1
29.0,40626.22,High School,2.0,0
18.0,55888.39,Bachelor,0.0,0
37.0,62505.38,High School,14.0,1
45.0,43519.66,High School,13.0,0
60.0,22430.18,High School,0.0,0
54.0,69971.19,Bachelor,20.0,1
64.0,45038.33,Bachelor,7.0,0
,74020.64,Master,6.0,1
29.0,,High School,8.0,0
54.0,109866.55,PhD,29.0,1
61.0,90039.37,,37.0,1
45.0,61161.11,Master,2.0,1
64.0,38663.75,Bachelor,1.0,0
32.0,42885.04,,13.0,0
23.0,60693.16,Master,5.0,1
61.0,48083.6,Bachelor,3.0,0
37.0,45460.15,Bachelor,4.0,0
31.0,,Bachelor,4.0,0
19.0,42482.21,Bachelor,0.0,0
26.0,46964.28,Bachelor,8.0,0
54.0,75573.25,Bachelor,28.0,1
37.0,41065.06,High School,8.0,0
43.0,84348.47,,23.0,1
46.0,82392.27,Master,23.0,1
18.0,49398.22,High School,0.0,0
52.0,48189.69,High School,15.0,1
23.0,44542.67,Bachelor,3.0,0
54.0,42754.65,Bachelor,1.0,0
22.0,45116.83,Bachelor,2.0,0
50.0,60192.05,High School,29.0,1
31.0,47681.39,Bachelor,7.0,0
29.0,34093.83,High School,4.0,0
59.0,62566.88,Bachelor,,1
37.0,59670.56,Master,5.0,1
41.0,57370.92,High School,20.0,1
60.0,55108.39,Bachelor,16.0,0
51.0,77947.35,PhD,2.0,1
42.0,57824.25,Bachelor,12.0,1
46.0,67784.13,Master,11.0,1
56.0,84971.48,Bachelor,37.0,1
48.0,82633.57,Master,21.0,1
64.0,54833.99,High School,20.0,0
,63736.86,High School,28.0,0
40.0,51806.96,High School,12.0,0
61.0,90302.8,Bachelor,38.0,1
55.0,74504.98,Master,4.0,1
37.0,51692.36,Bachelor,13.0,1
40.0,72578.98,Bachelor,17.0,1
62.0,44580.16,Bachelor,3.0,0
33.0,43918.28,Bachelor,0.0,0
,92982.2,Bachelor,38.0,1
25.0,41652.32,Bachelor,3.0,0
38.0,55922.73,Bachelor,12.0,1
18.0,38425.4,High School,0.0,0
25.0,90291.44,PhD,3.0,1
46.0,38953.69,High School,12.0,0
49.0,35385.91,High School,3.0,0
55.0,96274.3,Master,34.0,0
22.0,40363.71,Bachelor,3.0,0
64.0,102501.63,Bachelor,39.0,1
39.0,57248.49,Bachelor,16.0,1
,126491.16,Bachelor,46.0,1
51.0,28252.93,High School,5.0,0
18.0,51860.29,Bachelor,0.0,0
43.0,78873.79,Bachelor,23.0,1
60.0,65715.63,Bachelor,21.0,1
27.0,50857.48,Bachelor,5.0,0
47.0,66443.58,Master,9.0,1
35.0,27331.28,High School,3.0,0
34.0,55751.7,Bachelor,8.0,0
43.0,67519.1,Bachelor,15.0,1
25.0,61456.78,Master,6.0,1
64.0,94724.7,High School,45.0,1
57.0,89040.72,Bachelor,37.0,1
29.0,57836.88,,0.0,1
44.0,48421.8,High School,17.0,0
25.0,73920.8,Master,3.0,1
42.0,51349.19,High School,21.0,1
63.0,72593.76,Bachelor,26.0,1
21.0,73608.65,Master,,1
50.0,56087.95,Bachelor,0.0,0
18.0,51044.85,,0.0,1
36.0,39316.73,High School,14.0,0
48.0,95711.5,Master,14.0,1
33.0,55988.76,Bachelor,10.0,1
31.0,32458.87,High School,4.0,0
65.0,51095.5,,,0
22.0,50389.79,Bachelor,4.0,0
58.0,28080.38,High School,2.0,0
43.0,,High School,11.0,0
45.0,60020.01,High School,27.0,1
,,Bachelor,1.0,0
23.0,62808.32,Bachelor,4.0,0
26.0,,Bachelor,0.0,0
50.0,101145.25,Master,32.0,1
58.0,102270.63,Master,39.0,1
42.0,58001.96,Bachelor,10.0,1
65.0,85508.81,High School,45.0,1
30.0,60708.45,Bachelor,12.0,1
26.0,52404.58,Bachelor,8.0,0
30.0,46461.43,Bachelor,6.0,0
48.0,66358.0,Bachelor,12.0,1
58.0,61879.95,Bachelor,18.0,1
28.0,69259.8,Master,9.0,1
21.0,,High School,3.0,0
51.0,82474.07,Bachelor,27.0,1
55.0,27217.95,High School,3.0,0
63.0,63915.45,Master,2.0,0
21.0,23850.34,High School,1.0,0
55.0,71457.95,High School,37.0,1
36.0,46320.79,Bachelor,4.0,0
23.0,41058.85,Bachelor,2.0,0
51.0,58599.88,High School,24.0,1
35.0,46706.93,Bachelor,8.0,0
30.0,51300.83,Bachelor,2.0,0
58.0,68054.92,High School,,1
40.0,48614.2,Bachelor,8.0,1
36.0,83331.5,Master,11.0,1
62.0,82980.04,Bachelor,34.0,1
28.0,41941.93,Bachelor,3.0,0
18.0,36471.66,Bachelor,0.0,1
41.0,73573.91,Bachelor,16.0,1
24.0,29302.21,High School,4.0,0
42.0,39342.4,High School,11.0,0
,76078.16,Master,17.0,0
32.0,85006.53,PhD,3.0,1
18.0,47027.44,Bachelor,0.0,0
29.0,,High School,9.0,0
24.0,23516.78,High School,1.0,0
32.0,74327.86,Bachelor,13.0,1
38.0,,Bachelor,7.0,1
36.0,42055.19,High School,8.0,0
46.0,74219.32,Master,18.0,1
42.0,52566.14,Bachelor,12.0,1
50.0,94776.07,Master,30.0,0
49.0,87751.87,Master,24.0,1
,59656.6,Master,,1
61.0,,Bachelor,6.0,0
55.0,64156.56,Bachelor,20.0,1
43.0,,Bachelor,5.0,0
,49347.89,Bachelor,10.0,0
52.0,,Bachelor,27.0,1
25.0,86461.06,PhD,7.0,1
63.0,98242.14,Bachelor,43.0,1
31.0,57286.46,Master,4.0,1
27.0,59892.24,Master,4.0,1
19.0,35445.57,High School,1.0,0
63.0,60677.84,High School,26.0,0
26.0,56549.58,Bachelor,1.0,0
20.0,53407.8,Bachelor,0.0,0
38.0,65258.59,Master,6.0,1
43.0,68799.08,Bachelor,24.0,1
25.0,55990.81,Bachelor,6.0,0
65.0,,Bachelor,27.0,1
19.0,36045.31,High School,0.0,0
23.0,49171.92,Bachelor,4.0,0
45.0,,Master,15.0,1
46.0,56716.85,High School,21.0,1
43.0,50488.63,Bachelor,3.0,0
42.0,74884.54,Bachelor,,1
29.0,25456.11,High School,0.0,0
22.0,35035.03,High School,3.0,0
51.0,69376.29,,2.0,1
65.0,86599.69,Bachelor,31.0,1
54.0,32718.12,High School,3.0,0
32.0,24855.93,High School,,0
61.0,68001.34,Bachelor,11.0,0
53.0,55492.47,Bachelor,12.0,0
32.0,45389.51,Bachelor,1.0,0
,,High School,28.0,0
65.0,68085.5,Master,8.0,0
40.0,54239.54,Bachelor,6.0,1
23.0,45482.41,Bachelor,4.0,0
63.0,43328.38,Bachelor,1.0,0
61.0,87615.79,Bachelor,32.0,1
60.0,58395.7,,6.0,1
62.0,85235.48,Master,17.0,1
38.0,73467.2,,18.0,1
40.0,,Master,7.0,1
60.0,64755.15,Master,11.0,1
33.0,64570.05,,10.0,1
64.0,,,29.0,0
32.0,,Bachelor,10.0,0
42.0,42310.03,High School,8.0,0
53.0,89878.56,Master,27.0,1
28.0,33944.88,High School,3.0,0
32.0,58122.16,Bachelor,6.0,1
21.0,48682.1,Bachelor,0.0,0
38.0,69811.09,Bachelor,10.0,1
30.0,65055.81,Bachelor,10.0,1
39.0,,Master,1.0,1
36.0,66917.25,,,1
51.0,98557.22,,21.0,1
31.0,40491.11,High School,12.0,0
21.0,48417.02,Bachelor,1.0,1
,76118.51,Bachelor,,0
63.0,70432.04,High School,31.0,0
44.0,48058.92,Bachelor,8.0,1
46.0,48645.53,,10.0,1
64.0,43910.74,Bachelor,4.0,0
45.0,72250.48,Bachelor,25.0,1
52.0,68567.77,Bachelor,6.0,1
25.0,41304.61,High School,4.0,0
33.0,26005.01,,0.0,1
59.0,66232.16,Bachelor,23.0,1
53.0,52396.92,High School,24.0,0
47.0,85066.64,High School,28.0,1
35.0,43000.97,Bachelor,4.0,0
19.0,50901.17,Bachelor,1.0,0
30.0,63536.0,,12.0,1
21.0,44152.68,Bachelor,2.0,0
43.0,46350.77,Bachelor,7.0,0
42.0,69466.23,Bachelor,19.0,1
,,Master,1.0,1
28.0,,,9.0,0
24.0,45005.3,Bachelor,1.0,0
48.0,72623.47,,20.0,1
61.0,,High School,14.0,0
27.0,42239.6,Bachelor,5.0,0
56.0,52289.18,Bachelor,4.0,0
30.0,79650.91,Master,,1
48.0,89966.44,Master,21.0,1
24.0,42385.36,Bachelor,2.0,0
59.0,47100.9,High School,15.0,0
59.0,77091.4,High School,34.0,1
53.0,61694.63,Bachelor,8.0,1
37.0,51985.11,Bachelor,2.0,0
21.0,32185.82,High School,2.0,0
24.0,45180.43,Bachelor,2.0,0
,37957.46,High School,0.0,0
61.0,116379.88,PhD,33.0,1
62.0,74944.34,High School,38.0,1
59.0,65393.09,,9.0,1
64.0,65146.12,Master,9.0,0
30.0,46572.91,Bachelor,3.0,0
39.0,48089.33,Bachelor,0.0,0
38.0,53424.85,Bachelor,5.0,1
39.0,70888.83,Bachelor,20.0,1
45.0,59545.0,Bachelor,13.0,1
26.0,,Bachelor,1.0,0
43.0,60148.88,,5.0,1
26.0,38199.49,Bachelor,0.0,0
32.0,42692.25,Bachelor,2.0,0
27.0,54574.96,High School,3.0,0
41.0,56981.29,Bachelor,12.0,1
59.0,68552.4,High School,34.0,1
25.0,31470.57,High School,6.0,0
41.0,51565.77,High School,12.0,0
33.0,62175.41,,5.0,0
43.0,36280.59,High School,10.0,0
44.0,71516.61,Master,3.0,1
54.0,42960.93,High School,16.0,0
21.0,51117.89,Bachelor,0.0,0
41.0,47835.21,High School,20.0,0
36.0,59539.41,Master,7.0,0
53.0,100537.29,Bachelor,29.0,1
56.0,,Bachelor,6.0,0
27.0,37187.82,Bachelor,0.0,0
,51992.67,Bachelor,6.0,1
,57823.84,Bachelor,8.0,1
,39626.69,High School,1.0,0
53.0,97466.19,PhD,21.0,1
27.0,45527.56,Bachelor,3.0,0
50.0,72123.11,Bachelor,26.0,1
22.0,45287.61,Bachelor,1.0,0
64.0,102062.63,Bachelor,44.0,1
52.0,96961.86,Master,30.0,1
61.0,69537.12,Bachelor,24.0,1
,44947.08,Bachelor,1.0,0
50.0,33625.2,High School,9.0,0
38.0,68231.16,Master,9.0,1
34.0,46449.92,Bachelor,4.0,0
39.0,63727.4,High School,21.0,1
65.0,33403.45,High School,3.0,0
54.0,,Bachelor,33.0,1
32.0,80528.02,,,1
52.0,,High School,16.0,0
45.0,50381.27,Bachelor,10.0,1
24.0,38878.27,High School,4.0,1
49.0,56096.32,Bachelor,17.0,1
28.0,49215.15,Bachelor,7.0,0
27.0,77905.11,PhD,7.0,1
26.0,40925.37,Bachelor,,0
31.0,67457.45,Master,3.0,1
30.0,52165.01,Bachelor,8.0,0
42.0,52424.55,High School,20.0,1
19.0,49502.91,Bachelor,1.0,0
52.0,77627.65,Bachelor,25.0,1
,81783.65,PhD,4.0,1
38.0,64530.97,Master,5.0,1
35.0,40162.74,High School,2.0,0
20.0,24377.77,High School,0.0,0
59.0,61117.3,High School,28.0,0
,83650.69,Master,23.0,1
58.0,,Master,14.0,1
28.0,,Master,5.0,1
56.0,87533.0,Bachelor,31.0,1
41.0,61084.82,Bachelor,11.0,1
,81952.02,Bachelor,33.0,1
36.0,35076.82,High School,3.0,0
21.0,54582.95,Bachelor,3.0,0
43.0,72081.1,High School,24.0,1
55.0,35762.45,High School,11.0,0
,98534.11,Master,34.0,1
49.0,88354.35,Master,,1
56.0,111509.87,Bachelor,37.0,1
62.0,64951.98,Bachelor,16.0,0
63.0,81236.31,,26.0,1
53.0,54556.19,Bachelor,16.0,1
57.0,73165.31,Master,10.0,0
54.0,58344.74,Master,1.0,1
50.0,50230.77,Bachelor,,0
53.0,77832.15,High School,28.0,1
20.0,,Bachelor,0.0,0
26.0,51549.73,Bachelor,7.0,0
25.0,48720.84,Bachelor,7.0,0
50.0,,Master,15.0,1
23.0,40685.56,Bachelor,0.0,0
58.0,31980.49,High School,8.0,0
,68846.86,Bachelor,26.0,1
,79903.64,PhD,3.0,1
,32634.1,High School,8.0,0
19.0,44022.88,Bachelor,0.0,0
22.0,69499.6,Bachelor,4.0,1
61.0,55085.0,High School,,0
44.0,49660.96,Bachelor,10.0,1
,73296.25,Bachelor,11.0,1
38.0,,Bachelor,2.0,0
25.0,55876.06,Master,0.0,0
55.0,68206.71,High School,26.0,1
25.0,31673.53,High School,7.0,0
20.0,56666.53,,1.0,0
61.0,59702.79,,18.0,0
20.0,51841.58,,0.0,0
39.0,60180.26,Master,6.0,1
23.0,52192.3,Bachelor,4.0,0
,44023.71,Bachelor,1.0,0
40.0,31213.07,High School,5.0,0
61.0,30087.03,High School,2.0,0
19.0,27145.95,High School,1.0,0
55.0,86761.78,Master,27.0,1
34.0,23737.76,High School,2.0,0
52.0,52609.47,Bachelor,,1
51.0,74180.66,Master,12.0,1
40.0,56038.96,Bachelor,12.0,1
47.0,47218.38,Bachelor,0.0,0
25.0,48801.14,Bachelor,4.0,0
39.0,43805.74,Bachelor,7.0,0
61.0,89500.42,,36.0,1
53.0,73756.05,Bachelor,30.0,1
22.0,76951.57,PhD,3.0,1
30.0,51818.27,Master,0.0,1
46.0,75949.04,Master,8.0,1
48.0,78663.42,Master,12.0,1
64.0,56301.33,Bachelor,12.0,0
33.0,53676.05,Bachelor,4.0,0
59.0,69029.12,Master,13.0,1
47.0,51878.78,Bachelor,10.0,1
33.0,90628.73,,8.0,1
29.0,45983.57,,9.0,0
34.0,57713.38,Bachelor,13.0,1
33.0,55298.39,Bachelor,8.0,1
29.0,77818.41,PhD,6.0,1
25.0,47538.23,High School,7.0,0
37.0,77077.87,Bachelor,,1
20.0,47475.41,Bachelor,1.0,0
33.0,33578.98,High School,9.0,0
47.0,80858.9,Master,14.0,1
62.0,115364.54,Bachelor,43.0,1
40.0,53268.5,Bachelor,8.0,1
45.0,44798.59,Bachelor,2.0,0
57.0,68649.75,Bachelor,25.0,1
22.0,,,1.0,0
37.0,42589.29,Bachelor,0.0,0
57.0,37402.47,High School,,0
61.0,90445.81,PhD,10.0,1
18.0,37463.93,Bachelor,0.0,0
47.0,71898.81,Bachelor,,1
38.0,51307.86,Bachelor,6.0,1
37.0,55124.16,Bachelor,11.0,1
23.0,47392.77,,3.0,0
39.0,49375.6,Bachelor,5.0,0
35.0,43358.65,Bachelor,2.0,0
25.0,37825.18,Bachelor,1.0,0
56.0,84429.33,,25.0,1
,53898.42,High School,21.0,0
50.0,86756.84,Bachelor,29.0,1
33.0,39886.31,High School,15.0,0
29.0,27798.33,High School,3.0,0
55.0,,Master,36.0,1
51.0,58255.42,Bachelor,,1
31.0,,Bachelor,0.0,0
53.0,65701.69,Bachelor,20.0,1
50.0,92486.69,Master,27.0,1
40.0,57801.33,Bachelor,15.0,1
,85460.63,,15.0,1
19.0,50782.2,Bachelor,1.0,0
58.0,110526.16,PhD,27.0,1
38.0,80692.89,Master,18.0,1
19.0,70637.71,Master,1.0,0
44.0,34707.25,High School,0.0,0
26.0,31371.94,High School,3.0,1
18.0,25225.99,High School,0.0,0
28.0,30276.01,,3.0,0
20.0,62861.45,Master,1.0,0
40.0,23070.1,High School,1.0,0
,39632.29,High School,13.0,0
21.0,42838.14,High School,3.0,0
35.0,42338.18,High School,5.0,1
23.0,,High School,3.0,0
52.0,98945.51,Master,2.0,1
39.0,67137.42,Bachelor,15.0,1
60.0,47965.75,High School,16.0,0
32.0,64746.29,,11.0,1
39.0,61638.84,Bachelor,18.0,1
54.0,51976.82,High School,23.0,0
59.0,65340.57,Bachelor,19.0,1
29.0,45843.03,Bachelor,2.0,0
64.0,53785.39,Bachelor,12.0,0
59.0,78858.85,,19.0,1
55.0,27422.68,High School,1.0,0
35.0,70027.1,PhD,3.0,1
62.0,90310.77,Master,26.0,1
52.0,,Master,24.0,1
47.0,,High School,,0
41.0,,Master,16.0,1
59.0,63518.57,Master,0.0,1
47.0,60163.66,Master,0.0,1
31.0,52837.92,High School,13.0,0
23.0,48848.78,Bachelor,,0
20.0,70388.57,PhD,1.0,1
33.0,58753.56,Bachelor,11.0,1
24.0,,Bachelor,5.0,0
31.0,56856.67,Master,5.0,1
26.0,49086.98,,8.0,0
32.0,,Bachelor,0.0,0
38.0,76349.93,Bachelor,12.0,1
52.0,89037.89,,,1
19.0,37141.05,High School,1.0,0
44.0,72223.53,Bachelor,11.0,1
19.0,38124.42,Bachelor,0.0,0
52.0,,Master,,1
35.0,56725.62,Bachelor,16.0,1
31.0,67170.79,Master,8.0,1
37.0,81473.5,Master,17.0,1
35.0,24576.67,,1.0,0
27.0,62544.61,Bachelor,6.0,0
42.0,50986.94,High School,19.0,0
19.0,49925.96,Bachelor,0.0,0
42.0,62569.35,Bachelor,20.0,1
50.0,96011.03,Master,15.0,1
53.0,95662.96,,28.0,1
48.0,31696.06,High School,0.0,0
31.0,44127.97,High School,11.0,0
18.0,,Bachelor,0.0,0
63.0,69327.16,Bachelor,17.0,0
33.0,38238.99,High School,10.0,0
63.0,77579.06,,21.0,1
20.0,54895.65,Master,2.0,0
52.0,72530.31,Bachelor,24.0,1
58.0,109308.48,Master,29.0,1
23.0,43725.03,Bachelor,1.0,0
42.0,66854.11,Bachelor,11.0,1
30.0,52390.81,Bachelor,8.0,0
51.0,,High School,10.0,0
25.0,,Master,6.0,1
38.0,47801.24,Bachelor,2.0,0
51.0,,Bachelor,22.0,1
,46512.25,,0.0,0
42.0,47904.51,High School,12.0,0
32.0,33404.07,,4.0,0
21.0,49520.66,Bachelor,3.0,0
62.0,52128.27,Bachelor,12.0,0
29.0,56364.75,Bachelor,1.0,0
49.0,61624.39,Bachelor,5.0,1
49.0,47497.4,Bachelor,5.0,1
45.0,56208.1,Bachelor,11.0,1
30.0,66186.65,Bachelor,3.0,1
48.0,61451.02,Master,4.0,1
31.0,56736.38,,6.0,0
37.0,53300.12,Bachelor,7.0,1
35.0,28006.1,High School,5.0,0
46.0,70949.94,Bachelor,20.0,1
23.0,,High School,3.0,0
49.0,,Bachelor,2.0,0
46.0,49272.43,High School,22.0,0
60.0,58824.09,Bachelor,7.0,0
,52104.13,Master,0.0,0
40.0,61248.97,Bachelor,20.0,1
36.0,60526.41,,10.0,0
48.0,58167.84,High School,17.0,0
22.0,60212.15,Master,1.0,0
36.0,45421.94,High School,11.0,0
51.0,71184.2,Bachelor,27.0,1
27.0,53191.44,Bachelor,7.0,0
42.0,59769.58,Bachelor,18.0,1
19.0,38075.64,Bachelor,0.0,0
28.0,77964.98,Master,10.0,1
48.0,49880.45,High School,20.0,0
32.0,26316.27,High School,1.0,0
26.0,40977.25,High School,8.0,0
,28544.77,High School,3.0,1
36.0,36651.68,High School,8.0,0
26.0,70408.97,,8.0,1
52.0,76831.09,Bachelor,33.0,1
38.0,,Bachelor,8.0,1
26.0,94005.41,Bachelor,8.0,1
45.0,57807.96,Bachelor,17.0,1
63.0,49782.08,Bachelor,10.0,0
,37770.69,High School,4.0,0
33.0,50177.52,Bachelor,5.0,0
33.0,33975.92,High School,8.0,1
50.0,58270.58,High School,15.0,0
21.0,44864.17,Bachelor,3.0,0
21.0,61537.68,Master,1.0,0
56.0,56456.8,,6.0,0
57.0,48951.46,High School,14.0,0
34.0,64515.94,Master,5.0,1
54.0,61732.08,Bachelor,10.0,0
56.0,74112.33,Bachelor,31.0,1
46.0,98903.27,Master,26.0,1
53.0,76447.11,Bachelor,29.0,1
55.0,52688.3,High School,16.0,0
56.0,85239.18,Bachelor,35.0,1
54.0,61730.7,Bachelor,18.0,1
52.0,49952.11,Bachelor,6.0,0
24.0,47970.51,Bachelor,2.0,0
,76268.19,Master,,1
45.0,,Master,26.0,1
39.0,78816.05,Master,20.0,1
31.0,66648.26,Master,11.0,1
24.0,56164.91,Master,2.0,0
54.0,,High School,13.0,0
39.0,34543.06,High School,1.0,0
,53805.11,Bachelor,4.0,0
19.0,56560.79,Master,1.0,0
44.0,,,4.0,0
38.0,51509.05,Bachelor,12.0,1
55.0,53853.65,High School,23.0,0
32.0,,High School,7.0,0
38.0,54908.11,Bachelor,13.0,1
27.0,34063.25,High School,4.0,0
40.0,75792.59,Bachelor,12.0,1
56.0,66109.18,High School,31.0,1
22.0,54815.76,Bachelor,1.0,0
18.0,50961.93,Bachelor,0.0,0
30.0,54962.86,Bachelor,12.0,1
38.0,53420.68,Bachelor,3.0,0
43.0,73814.68,High School,22.0,1
62.0,,Master,9.0,1
38.0,55746.51,Bachelor,4.0,1
35.0,63470.08,Bachelor,17.0,1
54.0,55444.9,Bachelor,13.0,1
62.0,70948.05,High School,33.0,1
49.0,93972.99,Master,27.0,1
53.0,80094.63,Bachelor,7.0,1
34.0,58011.47,Bachelor,15.0,1
52.0,64898.64,High School,30.0,1
28.0,65974.6,Master,6.0,1
38.0,57384.23,Master,2.0,1
43.0,27439.46,High School,3.0,0
21.0,41138.61,Bachelor,0.0,0
51.0,61446.34,,3.0,1
65.0,48213.33,Bachelor,8.0,0
,,Master,16.0,1
57.0,70217.85,Bachelor,19.0,1
52.0,53486.99,Bachelor,13.0,1
